category	confidence	name_sim	first_match	coauth_jaccard	ref_jaccard	shared_papers	papers_a	papers_b	total_papers	in_500	name_a	name_b	decision
REVIEW	0.484	0.778	0.7	0.000	0.000	0	1	2	3	1	Yangyang Yu	Yang Yu	
REVIEW	0.484	0.778	0.7	0.000	0.000	0	3	1	4	1	Jingpeng Wu	Jing Wu	
REVIEW	0.484	0.778	0.7	0.000	0.000	0	1	1	2	1	Yanxia Li	Yaning Li	
REVIEW	0.484	0.778	0.7	0.000	0.000	0	1	1	2	0	Jinzhi Li	Jianyi Li	
REVIEW	0.484	0.778	0.7	0.000	0.000	0	1	1	2	0	Weiquan Li	Weifu Li	
REVIEW	0.484	0.778	0.7	0.000	0.000	0	2	1	3	0	Yong Liu	Yuhang Liu	
REVIEW	0.484	0.778	0.7	0.000	0.000	0	2	1	3	0	Yong Liu	Yuting Liu	
REVIEW	0.484	0.778	0.7	0.000	0.000	0	1	1	2	0	Juan Liu	Jiamin Liu	
REVIEW	0.484	0.778	0.7	0.000	0.000	0	1	1	2	1	Zhou Wang	Ziyu Wang	
REVIEW	0.484	0.778	0.7	0.000	0.000	0	1	2	3	1	Lei Wang	Liang Wang	
REVIEW	0.484	0.778	0.7	0.000	0.000	0	3	1	4	0	Haoyu Wang	Han Wang	
REVIEW	0.484	0.778	0.7	0.000	0.000	0	1	1	2	0	Yu-Li Wang	Yue Wang	
REVIEW	0.484	0.778	0.7	0.000	0.000	0	1	1	2	0	Yue Wang	Yuhan Wang	
REVIEW	0.484	0.778	0.7	0.000	0.000	0	1	1	2	0	Yue Wang	Yajie Wang	
REVIEW	0.484	0.778	0.7	0.000	0.000	0	1	1	2	0	Junmei Wang	Ji Wang	
REVIEW	0.484	0.778	0.7	0.000	0.000	0	1	1	2	2	Yi Chen	Yaning Chen	
REVIEW	0.484	0.778	0.7	0.000	0.000	0	1	1	2	0	Yali Chen	Ying Chen	
REVIEW	0.484	0.778	0.7	0.000	0.000	0	1	1	2	0	Yuan Zhou	Ying Zhou	
REVIEW	0.484	0.778	0.7	0.000	0.000	0	1	1	2	1	Y. Zhang	Yida Zhang	
REVIEW	0.484	0.778	0.7	0.000	0.000	0	1	1	2	0	Ye Zhang	Yida Zhang	
REVIEW	0.484	0.778	0.7	0.000	0.000	0	1	1	2	0	Hao Zhang	Hui Zhang	
REVIEW	0.484	0.778	0.7	0.000	0.000	0	1	1	2	0	Yu Zhang	Yida Zhang	
REVIEW	0.484	0.774	0.7	0.000	0.000	0	1	1	2	2	Chang-Huain Hsieh	Ching‐Lin Hsieh	
REVIEW	0.484	0.774	0.7	0.000	0.000	0	1	1	2	0	Divya Sthanu Kumar	Darshan Kumar	
REVIEW	0.483	0.583	0.7	0.167	0.033	0	1	1	2	1	Jeong Yoon Park	Joha Park	
REVIEW	0.482	0.769	0.7	0.000	0.000	0	1	2	3	1	Meng Xu	Min Xu	
REVIEW	0.482	0.769	0.7	0.000	0.000	0	1	1	2	0	Xiaogang Wang	Xianning Wang	
